[description:"Change level" end:"1363565796" entry:"1363127995" project:"MapChange" status:"completed" uuid:"99625fba-29b7-4511-8cde-63371bad7e44"]
[description:"Identify entering transition spot" end:"1363560423" entry:"1363127982" project:"MapChange" status:"completed" uuid:"9f372161-f382-4e37-9cdb-833bb7db35e5"]
[description:"Store transition tables" end:"1363548178" entry:"1363127968" project:"MapChange" status:"completed" uuid:"107205a5-42e8-453c-ab03-3074946484fe"]
[description:"Generate additional maps" end:"1363444310" entry:"1363127953" project:"MapChange" status:"completed" uuid:"9698f436-1673-4925-a9f0-fc827c5f6ea5"]
